ID,Tipo,REF,Nome,Publicado,Em destaque?,Visibilidade no catálogo,Descrição curta,Descrição,Data de preço promocional começa em,Data de preço promocional termina em,Status da taxa,Classe de taxa,Em estoque?,Estoque,Quantidade baixa de estoque,São permitidas encomendas?,Vender individualmente?,Peso (g),Comprimento (cm),Largura (cm),Altura (cm),Permitir avaliações de clientes?,Nota da compra,Preço promocional,Preço,Categorias,Tags,Classe de entrega,Imagens,Metadado: _wc_min_qty_product,Metadado: _wc_max_qty_product,Limite de download,Dias para expirar o download,Produto ascendente,Produtos agrupados,Aumenta vendas,Venda cruzada,URL externa,Texto do botão,Posição,Swatches Attributes,Nome do atributo 1,Valores do atributo 1,Visibilidade do atributo 1,Atributo global 1,Nome do atributo 2,Valores do atributo 2,Visibilidade do atributo 2,Atributo global 2,Metadado: _et_pb_post_hide_nav,Metadado: _et_pb_page_layout,Metadado: _et_pb_side_nav,Metadado: _et_pb_use_builder,Metadado: _et_builder_version,Metadado: _et_pb_first_image,Metadado: _et_pb_truncate_post,Metadado: _et_pb_ab_stats_refresh_interval,Metadado: _aioseop_keywords,Metadado: _aioseop_description,Metadado: _aioseop_title,Metadado: _ywsbs_subscription,Metadado: _ywsbs_price_is_per,Metadado: _ywsbs_price_time_option,Metadado: _ywsbs_max_length,Metadado: _wcct_goaldeal_stock_3870_1556384700_1556402700,Valores do atributo 3,Visibilidade do atributo 3,Atributo global 3,Nome do atributo 4,Valores do atributo 4,Visibilidade do atributo 4,Atributo global 4,Atributo padrão 4,Nome do atributo 5,Valores do atributo 5,Visibilidade do atributo 5,Atributo global 5,Metadado: _wp_old_date,Pedido*,Dúzias para encomenda,Arquivo/Pasta Estampa (Link G.Drive),nome do produto_FSB,tipo de produto_FSB
1905001,simple,1000,,'-1,0,,,,,,taxable,,1,24,10,0,0,50,20,20,20,1,,,100,,,,,,,,,,,,,,,,,,,,,,,,,default,et_no_sidebar,,,BB|Divi|3.22.5,,,hourly,,,,,,,,,,,,,,,,,,,,,,80,,,SKATE - ROSA S/TOALHA (DIRECIONADA A SOCIAL),S/ TOALHA
,simple,1000A,,'-1,0,,,,,,taxable,, ,12,10,0,0,50,20,20,20,1,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,SKATE - VERMELHO S/TOALHA (DIRECIONADA A SOCIAL),S/ TOALHA
,simple,1000B,,'-1,0,,,,,,taxable,,1,29,10,0,0,50,20,20,20,1,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,SKATE - LARANJA S/TOALHA (DIRECIONADA A SOCIAL),S/ TOALHA
,simple,1000C,,'-1,0,,,,,,taxable,,1,27,10,0,0,50,20,20,20,1,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,SKATE - ROXO S/TOALHA (DIRECIONADA A SOCIAL),S/ TOALHA
,simple,1000D,,'-1,0,,,,,,taxable,,1,19,10,0,0,50,20,20,20,1,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,SKATE - VERDE LIMÃO S/TOALHA (DIRECIONADA A SOCIAL),S/ TOALHA
,simple,1000E,,'-1,0,,,,,,taxable,,1,24,10,0,0,50,20,20,20,1,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,SKATE – PRETA (DIRECIONADA A SOCIAL),S/ TOALHA
,simple,1000F,,'-1,0,,,,,,taxable,,1,16,10,0,0,50,20,20,20,1,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,SKATE - ROSA PINK S/TOALHA (DIRECIONADA A SOCIAL),S/ TOALHA
,simple,1000G,,'-1,0,,,,,,taxable,,1,28,10,0,0,50,20,20,20,1,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE - CINZA CLARO S/TOALHA (DIRECIONADA A SOCIAL),S/ TOALHA
,simple,1000H,,'-1,0,,,,,,taxable,,1,24,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1008.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,SKATE - AZUL CLARO S/TOALHA (DIRECIONADA A SOCIAL),S/ TOALHA
,,1000I,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE – BRANCA S/TOALHA (DIRECIONADA A SOCIAL),S/ TOALHA
,simple,1001,,'-1,0,,,,,,taxable,,1,5,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1011.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,SKATE - LARANJA ATOALHADA,ATOALHADA
,simple,1001A,,'-1,0,,,,,,taxable,,1,4,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1013.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,SKATE - VERDE LIMÃO ATOALHADA,ATOALHADA
,simple,1001B,,'-1,0,,,,,,taxable,,1,1,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1012.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,SKATE - AZUL CANETA ATOALHADA,ATOALHADA
,simple,1001C,,'-1,0,,,,,,taxable,,1,3,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1016.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,SKATE - AMARELO CANÁRIO ATOALHADA,ATOALHADA
